Hugo_Symbol	2989R	2424R	4069R	3784R	3653R	3196R	1351R	4807R	4932R	4316R	1476R	3976R	3036R	4037R	3147R	4769R	4236R	3037R	3504R	4586R
FERMT3	16918	17932	14137	25343	9022	14527	17720	8606	32367	13840	23245	28665	18301	10622	13978	9745	17620	16370	19541	8644
PLCB3	720	245	1839	5114	1886	1764	1703	1061	319	1087	3836	3446	3856	1477	865	254	909	514	1159	885
MRPL49	1013	388	1011	462	925	595	791	845	1354	1149	1139	1033	406	327	1993	304	508	854	499	682
CDC42EP2	0	1	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0
FAU	6916	3649	14567	9691	5111	10176	5689	9489	5735	6674	9265	9127	4978	5150	11523	2428	9111	16330	8636	5608
TM7SF2	80	37	284	49	194	74	150	87	55	164	55	58	31	47	68	36	77	87	41	111
VPS51	1227	417	4776	1080	1468	2674	2902	2051	1177	2251	2015	2527	1229	1327	2987	404	1533	2812	1116	1273
TBX6	48	26	105	36	42	33	56	42	39	51	24	26	24	16	14	29	26	24	39	22
PPP4C	5261	4028	4232	6414	3229	5177	3563	4919	4617	3807	7776	7418	4501	3076	4817	2710	6161	6279	5827	2403
ALDOA	5273	2766	7449	2510	5677	5102	5476	4798	6429	1982	11582	9180	3894	1584	4086	2930	1728	2394	6191	3202
TLCD3B	18	3	8	6	29	1	5	37	0	11	3	25	0	10	52	2	9	48	0	18
DOC2A	20	3	32	1	107	3	55	28	10	130	5	2	3	9	3	7	5	48	2	83
HIRIP3	1363	154	1064	60	1246	122	1106	669	239	1161	189	155	64	95	2407	248	210	657	88	1143
TAOK2	2201	1464	3392	2462	2528	1356	3181	2386	4053	2748	3624	4355	1592	1044	3344	953	1878	2692	1403	1630
TMEM219	1251	314	2730	695	1453	1322	1925	1495	1647	1423	1301	1707	339	556	1896	350	897	2938	947	805
HMGA2	23	2	206	10	4	8	14	32	6	42	4	13	2	37	120	8	20	9	3	81
MMP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNKSR2	36	8	196	71	96	161	104	61	23	61	59	23	34	45	94	14	11	84	34	11
CNTN5	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	9	0	0	0
KLRF1	150	20	41	53	27	114	38	100	107	103	137	42	70	33	95	43	97	31	61	11
CLEC1A	69	88	82	23	31	55	60	68	195	49	73	87	29	24	16	109	139	12	72	7
MKX	1	3	1	0	0	0	2	1	2	7	1	1	0	0	5	1	3	2	0	0
