Hugo_Symbol	Entrez_Gene_Id	GTEX-T6MO-1526-SM-4DM57	GTEX-11P81-1626-SM-5BC52	GTEX-13N11-1126-SM-5KM41	GTEX-RTLS-2426-SM-46MUO	GTEX-ZP4G-0726-SM-4WWF2	GTEX-WEY5-0726-SM-4LMID	GTEX-T2IS-2226-SM-4DM65	GTEX-PX3G-2026-SM-48U1H	GTEX-U3ZN-0726-SM-4DXT5	GTEX-XUW1-0226-SM-4BOOS	GTEX-PWOO-1526-SM-48TCK	GTEX-Y3IK-2126-SM-4YCDS	GTEX-RU72-2626-SM-4TT75	GTEX-W5WG-1326-SM-4LMI9	GTEX-11GSP-2426-SM-5N9BD
VMP1	81671	2100	6985	8280	2067	3007	1957	1691	2452	2597	1224	14550	4746	7129.02	1521	6806
RRP1B	23076	981	1163	1002	948	1882	1229	1025	1687	1027	990	1280	1246	1538	1056	936
LINC00935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCN10A	6336	0	0	0	0	3	0	1	2	0	0	0	0	2	0	0
BRIP1	83990	14	9	13	70	20	10	6	17	11	26	8	46	31	44	17
BEST1	7439	428.71	297.15	576.13	851.2	567.69	375.51	165.91	310.03	241.45	458.26	546.97	667.4	877.75	366.86	561.78
HIST1H3B	8350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCTN1	79600	713	1044.47	1015.67	1587.43	1208.19	1037.03	855.82	1292.13	1132.7	1024.96	869.22	1512.34	1926.14	1054.85	1048.75
GPSM1	26086	898	1147	1329	1459.98	1368.96	990	1415.99	2633.04	1415.96	1144.97	1411.99	1466	3548.94	1484.98	2337.91
ICA1L	130026	729	812	520	1275	815	892	557	854	487	953	397	785	1266	1131	838
SBK3	100130827	2	5	25	2	7	3	4	9	4	2	12	9	8	3	7
LPHN1	22859	1560.41	1110.15	1606.18	947.89	2859.15	2001.57	1890.66	3910.34	1932.25	2260.12	1184.17	2139.26	2456.8	1952.38	968.26
DHCR24	1718	636	259	346.97	230	625	1016	669.85	464.95	253	630	558	633	644	724	532
KLK2	3817	15	6	12	1	2	1	98	6	8	5	0	15	76	0	7
TRMT5	57570	462	546.63	400.44	370.85	887.14	512.34	470.87	649.73	403.74	392.56	429.79	650.39	553.04	433.49	278.16
DYNC1I2	1781	4086.51	4870.96	4437.83	2174.49	7359.06	3931.14	3580.64	6692.54	4227.95	2815.45	3626.64	5222.16	3830.45	3500.21	3324.29
CASKIN2	57513	1987	1101	2543	1710	3861	2698	2308	3789	1803	2641	2447	3691	2355	2643	3805
SPRN	503542	95.2	125.7	141.34	102.4	170.63	76.94	121.89	163.3	83.17	140.24	93.64	185.76	259.22	120.6	154.52
CXXC11	285093	9	3	4	7	14	2	2	4	0	3	5	5	4	5	0
CTD-2561J22.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MOGAT2	80168	2	1	5	1	2	0	0	1	2	1	1	1	0	0	0
RPS20	6224	14016.84	16182.99	16840.31	22887.75	18520.18	14978.99	16433.81	25711.97	13258.97	15312.99	17793.99	30146.63	29614.7	19337.99	30449.02
KIF1B	23095	2605.11	6582.89	3855.88	3256.72	5719.36	3489.66	1651	4538.79	3210.98	1962.7	2246.92	3000.88	3692.88	1892.88	3489.39
MICU1	10367	1777	1974	1873	1303	2855	1824	1720	3648	1996	1188	1829	2660	2426	1633	2168
DDI2	6248	2330	3038.23	2359.43	2231.13	3815	2478	1481.77	3271	2720.12	1638	1728	2253.22	2716.1	1921	2369.27
CEP70	80321	424	511	394	664	574	455	339	563	356	403	350	713	694	523	699
NECAP2	55707	981	1193	1880	1065	1625	980	1351	2130	1112	989	1603	1851	2101	1044	1864
HLA-DPA1	3113	1496	2275	2787	2024	2856	1686	1696	6653.17	1838	2091.03	2350	3672	2645	2433	4482
TSFM	10102	366.98	393.52	595.74	333.37	650.35	337.25	407.11	722.35	414.56	289.56	508.36	503.14	687.9	407.23	326.61
PIGR	5284	57	27	4	15	38	11	28	40	133	23	22	13	427	27	7
GDF10	2662	163	9	10	19	132	112	107	1753	277	163	195	119	58	218	58
KCTD19	146212	9	25	23	7	11	4	39	21	44	7	1	19	49	8	6
PRR20B	122183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANKRD63	100131244	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0
SYNGR3	9143	2	18	25	5	11	9	11	5	6	1	7	4	3	2	5
AL158147.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SH2D2A	9047	61	38	18	116	149	36	68	47	16	80	140	126	66	100	87
FAM53B	9679	2648.28	2207.91	1680.34	1521.01	4240.76	2926.69	2096.89	3736.29	2226.44	2426.27	909.32	3094.07	3614.85	2200.1	1380.86
PARP16	54956	598	629	467	1049	798	393	481	811	497	528	597	849	1125	635	996
ABCC10	89845	939	1330	1398	1247.13	1586	940	1100	1309	894	1236	1139	1769	1888	1247	1477
SMARCAD1	56916	992	1533	1241	1255	1837	994	871	1792	1257	901	1174	1654	1753	1000	1208
LAT	27040	640.72	655.7	603.01	731	525.85	407.32	797.39	833.84	659.39	364.7	408.61	828.48	1157.35	586.58	844.72
ASIC4	55515	18	16	17	38	10	16	53	73	18	15	5	33	38	16	47
EEF1G	1937	29709.77	35727.91	35062.5	43069.83	46963.64	31902.43	40114.99	45536.1	30636.72	33643.65	35972.38	70063.25	70247.6	37903.39	51981.56
MTRF1L	54516	885.33	823.13	719.21	685.21	1292.58	630.83	543.86	916.26	493.02	704.77	892.72	656.11	810.26	691.99	772.73
PTPN6	5777	204	157	325	68	623	277	264	638	205	114	524	524	358	131	184
ZNF525	0	231.44	365.57	315.53	555.71	352.87	222.55	163.27	267.07	141	233.6	233.51	391.93	491	267	359.96
CPVL	54504	505	265	283	365	504	549	265	716	608	220	892	555	347	350	677
BGLAP	632	17.21	60.27	24.56	90.58	12.25	26.91	68.03	87.78	19.67	49.25	26.38	45.14	189.73	31.9	122.37
S100B	6285	30	62	129	64	84	57	53	45	4	28	180	11	12	29	11
AC079602.1	0	0	0	0	0	0	1	2	0	1	2	0	1	49	0	0
CMTM5	116173	22	12	47	70	48	24	59	37	23	30	22	85	36	47	90
AC051642.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNASE2	6036	32	2	66	2	116	23	1	9	9	7	55.89	23	2	7	7
ENOPH1	58478	605	723	604	519	1011	692	646	809	547	527	675	872	715	600	722
C2orf78	388960	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
OPRD1	4985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA1	19	1606	1285	982	3521	2096	1415	271	3606	1752	1058	2726	720	2196	665	1569
IFIT2	3433	381	256	489	209	288	152	175	485	195	144	125	503.99	210	207	230
CHMP3	51652	3622.08	4715.38	3859.73	2247.29	7120.64	4532.85	3164	4408.95	3595.57	2966.52	2844.57	4636.58	3577	2856	2628.81
FXYD1	5348	2145.83	1107.54	1054.88	2860.76	2919.7	1982.82	1854.99	1889.11	1112.93	1798.05	1183.97	3107.49	2642.6	2426.05	4226.97
ANKRD1	27063	33	18	5	6	54	6	0	1	5	14	20	25	17	2	3
NFATC3	4775	1608.09	1229.26	1047.56	1350.03	1994.59	1210.45	978.28	1891.86	1033.83	990.38	1222.58	1258.04	1720.09	1278.7	1250.19
PPIAL4B	164022	0	0	0	0	0.97	0	0	0	0	0.33	0.33	4	0	0	0.5
RP11-192H23.4	0	65.65	105.06	103.88	181.62	63.4	71.49	101.71	112	66.37	101.85	110.56	148.31	257.76	102.99	131.02
PSMC3	5702	2435	2465	3560	1618	4581	2683	2306	3713	2123	2123	2518	2783	2693	2366	2314.92
SP7	121340	5	1	0	17	6	3	4	3	0	0	1	5	3	6	0
KCTD18	130535	600	647	564	461	1094	683	326	907	548	326	550	551	559	425	428
CTAGE15	0	12.55	0	0	0	0	0	1.86	0	5.44	13.6	0	12.44	0	4.61	7.04
SPAG5	10615	60.24	112	98.64	333.84	110.6	96.82	116	115	63.67	161.97	93	199.87	272	149	200
NAP1L5	266812	201	155	186	152	524	428	167	395	177	149	346	290	272	145	333
PTK6	5753	13	32	5	28	28	13	20	17	9	14	13	17	15	19	27
LDOC1L	84247	1502	1826	1838	1037	3530	2256	1721	4141	2340	1711	1490	1993	2097	1029	636
C12orf54	121273	10	13	13	11	8	3	6	7	4	2	6	6	5	3	14.63
RP11-794P6.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBLCP1	134510	920	1299	1032	465	1576	1100	811	1358	840	756	764	968	827	953	517
TMEM14C	51522	2375	2138	2724	1483	3860	2403	2096	3200	1878	1564	2221	2668	2486.03	2003	2251
PSMA3	5684	1369	1615	1759	1357	2326	1390	1365	2101	1156	1166	1364	1817	1559	1328	1640
PROB1	389333	97	50	87	64	125	166	141	247	114	68	94	131	173	88	55
