symbol	base_avg	l2fc	l2fc_se	test_stat	pval	padj
CACNA2D1	612.3041469053294	-2.9556251970469827	0.16910359276430625	-17.478192797278314	2.1005141965846866e-68	1.6707421774939048e-67
ALPK2	39.14754183089937	2.033039507464573	0.2391654588263887	8.50055654959927	1.8868386012087572e-17	3.98845540507171e-17
FABP2	5.513504158119497	2.3831450820457167	0.3706031968159408	6.430449339133197	1.2722727962074228e-10	2.1478408245641825e-10
ZNF234	264.8324767398856	-0.6252906305471495	0.07479263086329226	-8.360324049705786	6.254621646722198e-17	1.3017964957724083e-16
NNT	2028.1808080472106	0.549523679144547	0.08215966958285403	6.68848453182226	2.254934754870404e-11	3.920207096360075e-11
AC008948.1	15.027540554492575	3.8591254444107497	0.2976839027295623	12.963836502495266	1.961846019862474e-38	7.40611159766227e-38
SAAL1	549.2756923004235	0.6918515829705161	0.06832987043950602	10.125170419912152	4.272338301729307e-24	1.0937354848070385e-23
IARS2	4543.884000591868	0.7470629506526171	0.05740288636383521	13.014379554322888	1.013622290631634e-38	3.8545691089770983e-38
SRC	3796.0563239271783	-0.33374213881309855	0.0683982933083344	-4.879392784094976	1.0641295188302086e-6	1.5499760645581625e-6
TMEM105	12.394573106270654	3.004783038856637	0.34653799212707204	8.670861801942953	4.288619685245516e-18	9.223379202158533e-18
MYNN	1047.312078704331	-0.009861235685871245	0.06390617520677282	-0.15430802506900998	0.8773668700136517	0.88645470416315
GPER1	305.0586622872529	-1.6771847724017326	0.15287048653963317	-10.971279089681618	5.252404811091363e-28	1.5023550447364118e-27
