Hugo_Symbol	Entrez_Gene_Id	GTEX-ZLWG-1026-SM-4WWC4	GTEX-13OVJ-2326-SM-5IJGA	GTEX-14BIM-2226-SM-5SI8Y	GTEX-Q734-1626-SM-48U1B	GTEX-S7SF-0826-SM-4AD4W	GTEX-12WSD-2826-SM-59HKT	GTEX-145ME-1326-SM-5O98Q	GTEX-S341-1026-SM-4AD71	GTEX-P4PP-2026-SM-3P61N	GTEX-113JC-2226-SM-5EGJG
MRPS30	10884	793	659	971	804	599	674	688	628	1122	480
THAP10	56906	126	49.98	148.22	102	62	72	77	84	147.36	59.94
SUGT1	10910	1659	1497	2469	2540	1049	2285	1279	1019.07	2403	1518
TMEM74	157753	16	7	27	2	7	19	1	3	15	6
LTN1	26046	1434	1334	1617	1190	1062	1383	1183	901	2251	972
LEAP2	116842	72	88	143	149	69	199	53	60	246	103
SEC22C	9117	2309	2103	2299	1842	1591.07	2274.99	2349	1783	3370	1891
HOXB1	3211	1	0	0	0	0	1	1	0	0	0
NUDCD3	23386	3241	3183	3332	3831	2965	4272	3108	2643	6302	3224
BCS1L	617	1031	903	1334	1398	771.1	1466.14	809	638	2179.36	870.34
PCDHGA7	56108	277.32	317.6	326.29	269.56	179.06	402.66	292.61	81.28	487.23	252.91
ESR2	2100	38.15	257.08	108.27	426.25	181.33	59.26	84.4	86	193.16	23.58
AFM	173	0	1	1	1	0	2	1	0	1	0
KCNRG	283518	28.2	19.91	12.19	7.83	6.95	15.89	8.37	9.25	25.99	3.91
MYH7B	57644	235	363	283	508	128	666	92	76	952	451
KDM1B	221656	512	470	730	509	408	625	489	418	573	466
HIST1H4E	8294	1	8	56	45	10	13	1	0	14	8
HDAC7	51564	7006.23	15965.09	8832.13	10246.52	8100.21	9233.59	6823.75	5529.74	11845.12	7267.56
EIF1AD	84285	652	420	527	953.99	401.99	505	572	457	1484	345
SPAG4	6676	132	182	122	47	91	81	51	50	309	125
CRYBB1	1414	9	4	2	13	15	6	7	12	4	1
CXorf65	158830	2	0	1	1	3	5	3	2	5	2
PPP2R1B	5519	774.01	1000	1032.03	973.08	756	1631.08	523	480	2357.08	1231
FAM9B	171483	96	101	34	198	146	96	111	104	70	143
SPNS3	201305	5	7	4	9	11	17	5	7	4	7
ABHD14B	84836	1650.37	2212	2485.43	1726	1495	1850	1361	1504	3255	1690.28
TTF2	8458	543	708	609	471	452	549	389	346	836	487
CTD-2583A14.9	0	5.47	0	4.24	1.23	0	0	0	5.1	3.29	0
APH1A	51107	2949.03	3406.85	2794.71	3030.51	2521.02	3143.67	2686.04	1943.25	5916.04	2607.64
PCNXL4	64430	1979	1405	2304	2028	1308	1893	1529	703	3525	1604
STAC	6769	115	187	179	165	92	408	30	214	32	451
BCOR	54880	2040	1152	1712	2021	1292	1089	859	792	2371	1181
SLC4A9	83697	7	6	5	1	1	3	3	4	4	1
